sample_name,size,time
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_whoami.sample,0026448,0.1692
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_join.sample,0040816,0.2989
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_timeout.sample,0053376,0.3712
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nl.sample,0102324,0.6837
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_od.sample,0073328,0.6777
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_expand.sample,0040496,0.2657
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mknod.sample,0036752,0.2863
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_cxxfilt.sample,0895008,8.1540
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_echo.sample,0025176,0.1697
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_rmdir.sample,0051248,0.3218
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tr.sample,0067168,0.5893
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_false.sample,0022660,0.1556
test-data/data/byteweight/elf-x86/gcc_findutils_32_O2_locate.sample,0060324,0.4488
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_shuf.sample,0047924,0.3034
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dd.sample,0066952,0.5828
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_rm.sample,0064532,0.5373
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_objcopy.sample,1084984,9.9610
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_sha1sum.sample,0040848,0.3293
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_setuidgid.sample,0034768,0.2773
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_echo.sample,0023172,0.1691
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_frcode.sample,0014912,0.0921
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_touch.sample,0057780,0.4384
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_id.sample,0037496,0.3080
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sha384sum.sample,0101296,60.2024
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_sysinfo.sample,0017620,0.1334
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_mkdir.sample,0050548,0.3457
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tac.sample,0126552,1.0078
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_chcon.sample,0063256,0.4523
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_unlink.sample,0028176,0.1781
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_md5sum.sample,0043568,0.4152
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_split.sample,0069772,0.5876
test-data/data/byteweight/elf-x86/gcc_findutils_32_O0_locate.sample,0056164,0.4131
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_wc.sample,0042864,0.3182
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mktemp.sample,0043348,0.3554
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_gprof.sample,1128756,13.1569
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sha384sum.sample,0088560,45.6762
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dircolors.sample,0039920,0.3986
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_strip-new.sample,1265208,13.3158
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_stty.sample,0065136,1.0305
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_stty.sample,0073232,1.2424
test-data/data/byteweight/elf-x86/gcc_findutils_32_O2_find.sample,0161068,2.0874
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mkfifo.sample,0032400,0.2340
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_du.sample,0111812,0.9659
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sha224sum.sample,0049608,0.9461
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_gprof.sample,1078356,10.9924
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_dirname.sample,0026928,0.1816
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tty.sample,0029280,0.2163
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mv.sample,0117980,1.3611
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nl.sample,0130868,0.9713
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_cxxfilt.sample,0930380,7.8504
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_nproc.sample,0028528,0.1871
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_sha224sum.sample,0047440,0.8221
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_truncate.sample,0054372,0.4064
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_find.sample,0153804,1.9983
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_nl.sample,0095964,0.6779
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_dir.sample,0115984,1.1530
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_chmod.sample,0055892,0.3959
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_pr.sample,0063920,0.5130
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_shuf.sample,0057516,0.3857
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha384sum.sample,0128400,19.3594
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_join.sample,0043536,0.3291
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sha1sum.sample,0051312,0.4253
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_pathchk.sample,0029872,0.2030
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_stat.sample,0084660,0.6143
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_[.sample,0032844,0.2343
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_base64.sample,0036932,0.2292
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_true.sample,0024068,0.1529
test-data/data/byteweight/elf-x86/gcc_findutils_32_O2_bigram.sample,0010752,0.0549
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_du.sample,0131348,1.0330
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uptime.sample,0043152,0.2903
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_base64.sample,0048176,0.3224
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_sleep.sample,0027760,0.1907
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_shred.sample,0056304,0.5118
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_nm-new.sample,0875180,8.9020
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_setuidgid.sample,0030864,0.2267
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_mknod.sample,0047280,0.3625
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_nm-new.sample,0911208,7.9075
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dirname.sample,0029808,0.2208
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_uptime.sample,0039440,0.2691
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_expand.sample,0030224,0.2126
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_stdbuf.sample,0064936,0.4341
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tsort.sample,0048048,0.7082
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nohup.sample,0040272,0.2898
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_uname.sample,0029744,0.2094
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_factor.sample,0113384,0.9106
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ls.sample,0122160,1.2823
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_truncate.sample,0051336,0.3951
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_cut.sample,0043536,0.3117
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ln.sample,0060436,0.4813
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_chown.sample,0072244,0.5488
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mktemp.sample,0040340,0.2949
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_cksum.sample,0029736,0.1904
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_comm.sample,0036496,0.2863
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha256sum.sample,0054188,1.7821
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_true.sample,0020628,0.1349
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_uptime.sample,0047984,0.3089
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_who.sample,0060688,0.4230
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_ar.sample,1080256,11.7483
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_md5sum.sample,0038704,0.3167
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_rm.sample,0070224,0.5089
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_cat.sample,0058952,0.3983
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_cksum.sample,0031504,0.2015
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_dirname.sample,0036960,0.2501
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_stat.sample,0073588,0.5312
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_users.sample,0029640,0.1917
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_date.sample,0069488,0.5895
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_fold.sample,0029716,0.2005
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_head.sample,0054080,0.4278
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_dircolors.sample,0036368,0.8060
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sort.sample,0126988,1.7413
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tail.sample,0072656,0.8230
