sample_name,nodes,edges,time
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_realpath.sample,0058448,000724800,0.5335
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_size.sample,1052436,014561028,15.7572
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_setuidgid.sample,0041816,000526824,0.4003
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha256sum.sample,0054188,003106252,3.1843
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_true.sample,0020628,000245484,0.1082
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sha256sum.sample,0049608,001795464,1.8879
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nproc.sample,0039408,000461906,0.2943
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_uptime.sample,0047984,000567086,0.4016
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_ptx.sample,0127580,001502824,1.3549
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_who.sample,0060688,000711052,0.5400
test-data/data/byteweight/pe-x86/msvs_whatever_32_O1_psftp.sample,0458058,009486858,10.4676
test-data/data/debian/buster/coreutils/usr_bin_sha1sum.sample,0044840,000755560,0.6327
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_shred.sample,0058440,000937810,0.7673
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_vdir.sample,0141168,002250594,2.1334
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_size.sample,0866356,010594298,10.5416
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_hostid.sample,0026160,000347950,0.3133
test-data/data/debian/buster/coreutils/usr_bin_truncate.sample,0037800,000485096,0.4284
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_nice.sample,0032400,000481792,0.4031
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_code.sample,0015488,000181222,0.1726
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_make-prime-list.sample,0005640,000052420,0.0222
test-data/data/debian/buster/coreutils/usr_bin_tty.sample,0027344,000277802,0.1773
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha512sum.sample,0128496,015738506,30.2120
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_logname.sample,0028048,000343224,0.2993
test-data/data/debian/buster/coreutils/bin_rmdir.sample,0039344,000393856,0.2267
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_basename.sample,0030736,000475436,0.3193
test-data/data/debian/buster/coreutils/usr_bin_fold.sample,0034212,000352470,0.2026
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_csplit.sample,0103344,001221944,0.9242
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_touch.sample,0059300,000747650,0.6078
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_numfmt.sample,0071760,001319882,1.1503
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_pwd.sample,0041960,000549848,0.3989
test-data/data/debian/buster/coreutils/usr_bin_shred.sample,0063704,001079258,0.9694
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_printenv.sample,0026736,000345998,0.2457
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tac.sample,0130008,001495564,1.1325
test-data/data/debian/buster/coreutils/usr_bin_paste.sample,0032144,000337734,0.2574
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tsort.sample,0034384,000516376,0.3675
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_comm.sample,0032720,000432476,0.2353
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_users.sample,0027760,000325342,0.2047
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_runcon.sample,0031024,000429486,0.2303
test-data/data/debian/buster/coreutils/usr_bin_tac.sample,0044320,000480734,0.5115
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_unexpand.sample,0033020,000395244,0.2387
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mkdir.sample,0049224,000553734,0.4701
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_false.sample,0024068,000310352,0.1933
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_ginstall.sample,0127000,001823022,1.7398
test-data/data/debian/buster/coreutils/bin_dd.sample,0081044,001089020,1.0034
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_paste.sample,0039792,000480258,0.3179
test-data/data/debian/buster/coreutils/usr_bin_unexpand.sample,0036100,000408396,0.3307
test-data/data/debian/buster/coreutils/bin_chmod.sample,0059040,000639922,0.4661
test-data/data/debian/buster/coreutils/usr_bin_tsort.sample,0033220,000337498,0.2075
test-data/data/debian/buster/coreutils/usr_bin_users.sample,0029320,000297792,0.1561
test-data/data/debian/buster/coreutils/usr_bin_env.sample,0033612,000421464,0.3236
test-data/data/debian/buster/coreutils/bin_mkdir.sample,0081916,000819446,0.6708
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_oldfind.sample,0153420,002931658,2.9468
test-data/data/byteweight/pe-x86/msvs_whatever_32_Ox_hidapi.sample,0010740,000187744,0.2139
test-data/data/debian/buster/coreutils/usr_bin_md5sum.sample,0042164,000567310,0.5185
test-data/data/debian/buster/coreutils/usr_bin_du.sample,0114088,001326132,1.4129
